facet_id,facet_raw,facet_normalized,facet_key,catalogue_id,source_qualifier,facet_type,conversation_observable,sensitivity,abstention_reason,scoring_definition,score_anchors,retrieval_text,is_header_like,has_numeric_prefix,has_encoding_artifact,classification_rule
F0001,Risktaking,Risktaking,risktaking,,,behavioral_tendency,True,low,,"Rate how strongly the speaker describes acting in ways characteristic of 'Risktaking', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Risktaking. behavioral tendency. Rate how strongly the speaker describes acting in ways characteristic of 'Risktaking', on a 1-5 scale.",False,False,False,behavioral_tendency
F0002,Naivety,Naivety,naivety,,,personality_trait,True,low,,"Rate how strongly the speaker's own words display the disposition 'Naivety', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Naivety. personality trait. Rate how strongly the speaker's own words display the disposition 'Naivety', on a 1-5 scale.",False,False,False,fallback_bare_trait_noun
F0003,Acidity,Acidity,acidity,,,personality_trait,True,low,,"Rate how strongly the speaker's own words display the disposition 'Acidity', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Acidity. personality trait. Rate how strongly the speaker's own words display the disposition 'Acidity', on a 1-5 scale.",False,False,False,fallback_bare_trait_noun
F0004,Democratic Leadership:,Democratic Leadership,democratic leadership,,,instrument_or_scale_header,False,low,malformed_or_header_row,NOT SCORABLE FROM CONVERSATION. 'Democratic Leadership' is classified as instrument_or_scale_header; establishing it requires evidence outside the transcript (malformed_or_header_row).,,Democratic Leadership. instrument or scale header. NOT SCORABLE FROM CONVERSATION. 'Democratic Leadership' is classified as instrument_or_scale_header; establishing it requires evidence outside the transcript (malformed_or_header_row).,True,False,False,structural_header
F0005,Common-sense,Common-sense,common sense,,,personality_trait,True,low,,"Rate how strongly the speaker's own words display the disposition 'Common-sense', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Common-sense. personality trait. Rate how strongly the speaker's own words display the disposition 'Common-sense', on a 1-5 scale.",False,False,False,fallback_bare_trait_noun
F0006,Hesitation,Hesitation,hesitation,,,behavioral_tendency,True,low,,"Rate how strongly the speaker describes acting in ways characteristic of 'Hesitation', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Hesitation. behavioral tendency. Rate how strongly the speaker describes acting in ways characteristic of 'Hesitation', on a 1-5 scale.",False,False,False,behavioral_tendency
F0007,Discontentment,Discontentment,discontentment,,,emotional_state,True,medium,,"Rate how strongly the speaker expresses or reports the emotional state 'Discontentment', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Discontentment. emotional state. Rate how strongly the speaker expresses or reports the emotional state 'Discontentment', on a 1-5 scale.",False,False,False,emotional
F0008,Overprotectiveness,Overprotectiveness,overprotectiveness,,,personality_trait,True,low,,"Rate how strongly the speaker's own words display the disposition 'Overprotectiveness', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Overprotectiveness. personality trait. Rate how strongly the speaker's own words display the disposition 'Overprotectiveness', on a 1-5 scale.",False,False,False,fallback_bare_trait_noun
F0009,Merriness,Merriness,merriness,,,emotional_state,True,medium,,"Rate how strongly the speaker expresses or reports the emotional state 'Merriness', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Merriness. emotional state. Rate how strongly the speaker expresses or reports the emotional state 'Merriness', on a 1-5 scale.",False,False,False,emotional
F0010,Emotionalism,Emotionalism,emotionalism,,,personality_trait,True,low,,"Rate how strongly the speaker's own words display the disposition 'Emotionalism', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Emotionalism. personality trait. Rate how strongly the speaker's own words display the disposition 'Emotionalism', on a 1-5 scale.",False,False,False,fallback_bare_trait_noun
F0011,Self-improvement,Self-improvement,self improvement,,,personality_trait,True,low,,"Rate how strongly the speaker's own words display the disposition 'Self-improvement', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Self-improvement. personality trait. Rate how strongly the speaker's own words display the disposition 'Self-improvement', on a 1-5 scale.",False,False,False,fallback_bare_trait_noun
F0012,Statistical Reasoning,Statistical Reasoning,statistical reasoning,,,cognitive_test_ability,False,low,requires_standardised_assessment,NOT SCORABLE FROM CONVERSATION. 'Statistical Reasoning' is classified as cognitive_test_ability; establishing it requires evidence outside the transcript (requires_standardised_assessment).,,Statistical Reasoning. cognitive test ability. NOT SCORABLE FROM CONVERSATION. 'Statistical Reasoning' is classified as cognitive_test_ability; establishing it requires evidence outside the transcript (requires_standardised_assessment).,False,False,False,cognitive_test_academic
F0013,Assertiveness and control in relationships,Assertiveness and control in relationships,assertiveness and control in relationships,,,interpersonal,True,low,,"Rate how strongly the speaker describes relating to others in terms of 'Assertiveness and control in relationships', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Assertiveness and control in relationships. interpersonal. Rate how strongly the speaker describes relating to others in terms of 'Assertiveness and control in relationships', on a 1-5 scale.",False,False,False,interpersonal
F0014,Cunningness,Cunningness,cunningness,,,personality_trait,True,low,,"Rate how strongly the speaker's own words display the disposition 'Cunningness', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Cunningness. personality trait. Rate how strongly the speaker's own words display the disposition 'Cunningness', on a 1-5 scale.",False,False,False,fallback_bare_trait_noun
F0015,Adventure-Seeking Behavior,Adventure-Seeking Behavior,adventure seeking behavior,,,behavioral_tendency,True,low,,"Rate how strongly the speaker describes acting in ways characteristic of 'Adventure-Seeking Behavior', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Adventure-Seeking Behavior. behavioral tendency. Rate how strongly the speaker describes acting in ways characteristic of 'Adventure-Seeking Behavior', on a 1-5 scale.",False,False,False,behavioral_tendency
F0016,Compassion Fatigue,Compassion Fatigue,compassion fatigue,,,clinical_mental_health,False,high,requires_clinical_assessment,NOT SCORABLE FROM CONVERSATION. 'Compassion Fatigue' is classified as clinical_mental_health; establishing it requires evidence outside the transcript (requires_clinical_assessment).,,Compassion Fatigue. clinical mental health. NOT SCORABLE FROM CONVERSATION. 'Compassion Fatigue' is classified as clinical_mental_health; establishing it requires evidence outside the transcript (requires_clinical_assessment).,False,False,False,clinical_named_scale
F0017,Moroseness,Moroseness,moroseness,,,emotional_state,True,medium,,"Rate how strongly the speaker expresses or reports the emotional state 'Moroseness', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Moroseness. emotional state. Rate how strongly the speaker expresses or reports the emotional state 'Moroseness', on a 1-5 scale.",False,False,False,emotional
F0018,Specialist,Specialist,specialist,,,personality_trait,True,low,,"Rate how strongly the speaker's own words display the disposition 'Specialist', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Specialist. personality trait. Rate how strongly the speaker's own words display the disposition 'Specialist', on a 1-5 scale.",False,False,False,fallback_bare_trait_noun
F0019,Aloofness,Aloofness,aloofness,,,personality_trait,True,low,,"Rate how strongly the speaker's own words display the disposition 'Aloofness', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Aloofness. personality trait. Rate how strongly the speaker's own words display the disposition 'Aloofness', on a 1-5 scale.",False,False,False,fallback_bare_trait_noun
F0020,Genuine,Genuine,genuine,,,personality_trait,True,low,,"Rate how strongly the speaker's own words display the disposition 'Genuine', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Genuine. personality trait. Rate how strongly the speaker's own words display the disposition 'Genuine', on a 1-5 scale.",False,False,False,fallback_bare_trait_noun
F0021,Determinedness,Determinedness,determinedness,,,personality_trait,True,low,,"Rate how strongly the speaker's own words display the disposition 'Determinedness', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Determinedness. personality trait. Rate how strongly the speaker's own words display the disposition 'Determinedness', on a 1-5 scale.",False,False,False,fallback_bare_trait_noun
F0022,HonestyHumility:,HonestyHumility,honestyhumility,,,instrument_or_scale_header,False,low,malformed_or_header_row,NOT SCORABLE FROM CONVERSATION. 'HonestyHumility' is classified as instrument_or_scale_header; establishing it requires evidence outside the transcript (malformed_or_header_row).,,HonestyHumility. instrument or scale header. NOT SCORABLE FROM CONVERSATION. 'HonestyHumility' is classified as instrument_or_scale_header; establishing it requires evidence outside the transcript (malformed_or_header_row).,True,False,False,structural_header
F0023,Relationship Building Themes:,Relationship Building Themes,relationship building themes,,,instrument_or_scale_header,False,low,malformed_or_header_row,NOT SCORABLE FROM CONVERSATION. 'Relationship Building Themes' is classified as instrument_or_scale_header; establishing it requires evidence outside the transcript (malformed_or_header_row).,,Relationship Building Themes. instrument or scale header. NOT SCORABLE FROM CONVERSATION. 'Relationship Building Themes' is classified as instrument_or_scale_header; establishing it requires evidence outside the transcript (malformed_or_header_row).,True,False,False,structural_header
F0024,Pure Challenge,Pure Challenge,pure challenge,,,personality_trait,True,low,,"Rate how strongly the speaker's own words display the disposition 'Pure Challenge', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Pure Challenge. personality trait. Rate how strongly the speaker's own words display the disposition 'Pure Challenge', on a 1-5 scale.",False,False,False,fallback_bare_trait_noun
F0025,Numerical Reasoning Subcomponents:,Numerical Reasoning Subcomponents,numerical reasoning subcomponents,,,instrument_or_scale_header,False,low,malformed_or_header_row,NOT SCORABLE FROM CONVERSATION. 'Numerical Reasoning Subcomponents' is classified as instrument_or_scale_header; establishing it requires evidence outside the transcript (malformed_or_header_row).,,Numerical Reasoning Subcomponents. instrument or scale header. NOT SCORABLE FROM CONVERSATION. 'Numerical Reasoning Subcomponents' is classified as instrument_or_scale_header; establishing it requires evidence outside the transcript (malformed_or_header_row).,True,False,False,structural_header
F0026,Openness,Openness,openness,,,cognitive_style,True,low,,"Rate how strongly the speaker's reasoning in this conversation exhibits 'Openness', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Openness. cognitive style. Rate how strongly the speaker's reasoning in this conversation exhibits 'Openness', on a 1-5 scale.",False,False,False,cognitive_style
F0027,SelfEsteem,SelfEsteem,selfesteem,,,personality_trait,True,low,,"Rate how strongly the speaker's own words display the disposition 'SelfEsteem', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","SelfEsteem. personality trait. Rate how strongly the speaker's own words display the disposition 'SelfEsteem', on a 1-5 scale.",False,False,False,fallback_bare_trait_noun
F0028,Comparing alphanumeric data,Comparing alphanumeric data,comparing alphanumeric data,,,cognitive_test_ability,False,low,requires_standardised_assessment,NOT SCORABLE FROM CONVERSATION. 'Comparing alphanumeric data' is classified as cognitive_test_ability; establishing it requires evidence outside the transcript (requires_standardised_assessment).,,Comparing alphanumeric data. cognitive test ability. NOT SCORABLE FROM CONVERSATION. 'Comparing alphanumeric data' is classified as cognitive_test_ability; establishing it requires evidence outside the transcript (requires_standardised_assessment).,False,False,False,cognitive_test_score
F0029,Big-heartedness,Big-heartedness,big heartedness,,,personality_trait,True,low,,"Rate how strongly the speaker's own words display the disposition 'Big-heartedness', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Big-heartedness. personality trait. Rate how strongly the speaker's own words display the disposition 'Big-heartedness', on a 1-5 scale.",False,False,False,fallback_bare_trait_noun
F0030,Compulsive activities,Compulsive activities,compulsive activities,,,behavioral_tendency,True,low,,"Rate how strongly the speaker describes acting in ways characteristic of 'Compulsive activities', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Compulsive activities. behavioral tendency. Rate how strongly the speaker describes acting in ways characteristic of 'Compulsive activities', on a 1-5 scale.",False,False,False,behavioral_tendency
F0031,Disrespect,Disrespect,disrespect,,,interpersonal,True,low,,"Rate how strongly the speaker describes relating to others in terms of 'Disrespect', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Disrespect. interpersonal. Rate how strongly the speaker describes relating to others in terms of 'Disrespect', on a 1-5 scale.",False,False,False,interpersonal
F0032,FSH level,FSH level,fsh level,,,biometric_physiological,False,high,requires_biometric_measurement,NOT SCORABLE FROM CONVERSATION. 'FSH level' is classified as biometric_physiological; establishing it requires evidence outside the transcript (requires_biometric_measurement).,,FSH level. biometric physiological. NOT SCORABLE FROM CONVERSATION. 'FSH level' is classified as biometric_physiological; establishing it requires evidence outside the transcript (requires_biometric_measurement).,False,False,False,biomarker_named_analyte
F0033,Self Perspective,Self Perspective,self perspective,,,personality_trait,True,low,,"Rate how strongly the speaker's own words display the disposition 'Self Perspective', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Self Perspective. personality trait. Rate how strongly the speaker's own words display the disposition 'Self Perspective', on a 1-5 scale.",False,False,False,fallback_bare_trait_noun
F0034,Desperation,Desperation,desperation,,,emotional_state,True,medium,,"Rate how strongly the speaker expresses or reports the emotional state 'Desperation', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Desperation. emotional state. Rate how strongly the speaker expresses or reports the emotional state 'Desperation', on a 1-5 scale.",False,False,False,emotional
F0035,Affiliation Motivation:,Affiliation Motivation,affiliation motivation,,,instrument_or_scale_header,False,low,malformed_or_header_row,NOT SCORABLE FROM CONVERSATION. 'Affiliation Motivation' is classified as instrument_or_scale_header; establishing it requires evidence outside the transcript (malformed_or_header_row).,,Affiliation Motivation. instrument or scale header. NOT SCORABLE FROM CONVERSATION. 'Affiliation Motivation' is classified as instrument_or_scale_header; establishing it requires evidence outside the transcript (malformed_or_header_row).,True,False,False,structural_header
F0036,Anatomy knowledge,Anatomy knowledge,anatomy knowledge,,,cognitive_test_ability,False,low,requires_standardised_assessment,NOT SCORABLE FROM CONVERSATION. 'Anatomy knowledge' is classified as cognitive_test_ability; establishing it requires evidence outside the transcript (requires_standardised_assessment).,,Anatomy knowledge. cognitive test ability. NOT SCORABLE FROM CONVERSATION. 'Anatomy knowledge' is classified as cognitive_test_ability; establishing it requires evidence outside the transcript (requires_standardised_assessment).,False,False,False,cognitive_test_academic
F0037,Passive-Aggressive,Passive-Aggressive,passive aggressive,,,personality_trait,True,low,,"Rate how strongly the speaker's own words display the disposition 'Passive-Aggressive', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Passive-Aggressive. personality trait. Rate how strongly the speaker's own words display the disposition 'Passive-Aggressive', on a 1-5 scale.",False,False,False,fallback_bare_trait_noun
F0038,Presence of Spiritual Pain,Presence of Spiritual Pain,presence of spiritual pain,,,clinical_mental_health,False,high,requires_clinical_assessment,NOT SCORABLE FROM CONVERSATION. 'Presence of Spiritual Pain' is classified as clinical_mental_health; establishing it requires evidence outside the transcript (requires_clinical_assessment).,,Presence of Spiritual Pain. clinical mental health. NOT SCORABLE FROM CONVERSATION. 'Presence of Spiritual Pain' is classified as clinical_mental_health; establishing it requires evidence outside the transcript (requires_clinical_assessment).,False,False,False,clinical_symptom_language
F0039,Role of Spirituality in Community Involvement,Role of Spirituality in Community Involvement,role of spirituality in community involvement,,,spiritual_religious_disposition,True,medium,,"Rate how strongly the speaker expresses the disposition 'Role of Spirituality in Community Involvement', without inferring any specific tradition or affiliation, on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Role of Spirituality in Community Involvement. spiritual religious disposition. Rate how strongly the speaker expresses the disposition 'Role of Spirituality in Community Involvement', without inferring any specific tradition or affiliation, on a 1-5 scale.",False,False,False,spiritual_disposition
F0040,Structure,Structure,structure,,,behavioral_tendency,True,low,,"Rate how strongly the speaker describes acting in ways characteristic of 'Structure', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Structure. behavioral tendency. Rate how strongly the speaker describes acting in ways characteristic of 'Structure', on a 1-5 scale.",False,False,False,behavioral_tendency
F0041,Eco-tourism trips,Eco-tourism trips,eco tourism trips,,,preference_lifestyle,True,medium,,"Rate how strongly the speaker states a preference or habit reflecting 'Eco-tourism trips', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Eco-tourism trips. preference lifestyle. Rate how strongly the speaker states a preference or habit reflecting 'Eco-tourism trips', on a 1-5 scale.",False,False,False,preference_lifestyle
F0042,Chivalrousness,Chivalrousness,chivalrousness,,,interpersonal,True,low,,"Rate how strongly the speaker describes relating to others in terms of 'Chivalrousness', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Chivalrousness. interpersonal. Rate how strongly the speaker describes relating to others in terms of 'Chivalrousness', on a 1-5 scale.",False,False,False,interpersonal
F0043,Pilgrimage participation count,Pilgrimage participation count,pilgrimage participation count,,,quantified_activity_metric,False,low,requires_external_records,NOT SCORABLE FROM CONVERSATION. 'Pilgrimage participation count' is classified as quantified_activity_metric; establishing it requires evidence outside the transcript (requires_external_records).,,Pilgrimage participation count. quantified activity metric. NOT SCORABLE FROM CONVERSATION. 'Pilgrimage participation count' is classified as quantified_activity_metric; establishing it requires evidence outside the transcript (requires_external_records).,False,False,False,quantified_count_noun
F0044,Mindfulness facet: Observing,Observing,observing,,Mindfulness facet,spiritual_religious_disposition,True,medium,,"Rate how strongly the speaker expresses the disposition 'Observing', without inferring any specific tradition or affiliation, on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Observing. spiritual religious disposition. Rate how strongly the speaker expresses the disposition 'Observing', without inferring any specific tradition or affiliation, on a 1-5 scale.",False,False,False,spiritual_disposition
F0045,Submissiveness,Submissiveness,submissiveness,,,personality_trait,True,low,,"Rate how strongly the speaker's own words display the disposition 'Submissiveness', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Submissiveness. personality trait. Rate how strongly the speaker's own words display the disposition 'Submissiveness', on a 1-5 scale.",False,False,False,fallback_bare_trait_noun
F0046,Training-cycle length,Training-cycle length,training cycle length,,,quantified_activity_metric,False,low,requires_external_records,NOT SCORABLE FROM CONVERSATION. 'Training-cycle length' is classified as quantified_activity_metric; establishing it requires evidence outside the transcript (requires_external_records).,,Training-cycle length. quantified activity metric. NOT SCORABLE FROM CONVERSATION. 'Training-cycle length' is classified as quantified_activity_metric; establishing it requires evidence outside the transcript (requires_external_records).,False,False,False,quantified_count_noun
F0047,Sensitiveness,Sensitiveness,sensitiveness,,,personality_trait,True,low,,"Rate how strongly the speaker's own words display the disposition 'Sensitiveness', on a 1-5 scale.","1=no or very weak evidence | 2=weak / passing evidence | 3=moderate, explicit evidence | 4=strong, elaborated evidence | 5=very strong, repeated or richly detailed evidence","Sensitiveness. personality trait. Rate how strongly the speaker's own words display the disposition 'Sensitiveness', on a 1-5 scale.",False,False,False,fallback_bare_trait_noun
F0048,Negative Affect Frequency,Negative Affect Frequency,negative affect frequency,,,quantified_activity_metric,False,low,requires_external_records,NOT SCORABLE FROM CONVERSATION. 'Negative Affect Frequency' is classified as quantified_activity_metric; establishing it requires evidence outside the transcript (requires_external_records).,,Negative Affect Frequency. quantified activity metric. NOT SCORABLE FROM CONVERSATION. 'Negative Affect Frequency' is classified as quantified_activity_metric; establishing it requires evidence outside the transcript (requires_external_records).,False,False,False,quantified_count_noun
F0049,Innovation and Creativity Components:,Innovation and Creativity Components,innovation and creativity components,,,instrument_or_scale_header,False,low,malformed_or_header_row,NOT SCORABLE FROM CONVERSATION. 'Innovation and Creativity Components' is classified as instrument_or_scale_header; establishing it requires evidence outside the transcript (malformed_or_header_row).,,Innovation and Creativity Components. instrument or scale header. NOT SCORABLE FROM CONVERSATION. 'Innovation and Creativity Components' is classified as instrument_or_scale_header; establishing it requires evidence outside the transcript (malformed_or_header_row).,True,False,False,structural_header
F0050,Achievement Motivation:,Achievement Motivation,achievement motivation,,,instrument_or_scale_header,False,low,malformed_or_header_row,NOT SCORABLE FROM CONVERSATION. 'Achievement Motivation' is classified as instrument_or_scale_header; establishing it requires evidence outside the transcript (malformed_or_header_row).,,Achievement Motivation. instrument or scale header. NOT SCORABLE FROM CONVERSATION. 'Achievement Motivation' is classified as instrument_or_scale_header; establishing it requires evidence outside the transcript (malformed_or_header_row).,True,False,False,structural_header
F0051,Feedback-giving frequency,Feedback-giving frequency,feedback giving frequency,,,quantified_activity_metric,False,low,requires_external_records,NOT SCORABLE FROM CONVERSATION. 'Feedback-giving frequency' is classified as quantified_activity_metric; establishing it requires evidence outside the transcript (requires_external_records).,,Feedback-giving frequency. quantified activity metric. NOT SCORABLE FROM CONVERSATION. 'Feedback-giving frequency' is classified as quantified_activity_metric; establishing it requires evidence outside the transcript (requires_external_records).,False,False,False,quantified_count_noun
F0052,Dance-cardio sessions,Dance-cardio sessions,dance cardio sessions,,,quantified_activity_metric,False,low,requires_external_records,NOT SCORABLE FROM CONVERSATION. 'Dance-cardio sessions' is classified as quantified_activity_metric; establishing it requires evidence outside the transcript (requires_external_records).,,Dance-cardio sessions. quantified activity metric. NOT SCORABLE FROM CONVERSATION. 'Dance-cardio sessions' is classified as quantified_activity_metric; establishing it requires evidence outside the transcript (requires_external_records).,False,False,False,quantified_count_noun
